jar,namespace,en_path,ko_path,en_status,ko_status,en_keys,ko_keys,shared_keys,missing_in_ko,ko_only_keys,error
merrymaking-1.21.1-16.jar,merrymaking,assets/merrymaking/lang/en_us.json,,ok,missing,472,0,0,472,0,
mffs-5.4.44.jar,mffs,assets/mffs/lang/en_us.json,,ok,missing,186,0,0,186,0,
mifa-neoforge-1.21.x-2.1.0.jar,mifa,assets/mifa/lang/en_us.json,,ok,missing,3,0,0,3,0,
minecolonies-1.1.1374-1.21.1-snapshot.jar,minecolonies,assets/minecolonies/lang/en_us.json,assets/minecolonies/lang/ko_kr.json,ok,ok,3898,3898,3898,0,0,
mininggadgets-1.18.7.jar,mininggadgets,assets/mininggadgets/lang/en_us.json,,ok,missing,85,0,0,85,0,
mob_grinding_utils-1.1.10+mc1.21.1.jar,mob_grinding_utils,assets/mob_grinding_utils/lang/en_us.json,,ok,missing,146,0,0,146,0,
Modern-Dynamics-0.9.6.jar,moderndynamics,assets/moderndynamics/lang/en_us.json,,ok,missing,72,0,0,72,0,
Modern-Industrialization-2.5.6.jar,modern_industrialization,assets/modern_industrialization/lang/en_us.json,assets/modern_industrialization/lang/ko_kr.json,ok,ok,1843,1244,1244,599,0,
modernfix-neoforge-5.27.20+mc1.21.1.jar,modernfix,assets/modernfix/lang/en_us.json,,ok,missing,155,0,0,155,0,
modonomicon-1.21.1-neoforge-1.120.4.jar,modonomicon,assets/modonomicon/lang/en_us.json,,ok,missing,215,0,0,215,0,
modular-routers-13.2.7+mc1.21.1.jar,modularrouters,assets/modularrouters/lang/en_us.json,assets/modularrouters/lang/ko_kr.json,ok,ok,371,357,270,101,87,
ModularBees-1.21.1-3.4-neoforge.jar,modularbees,assets/modularbees/lang/en_us.json,,ok,missing,59,0,0,59,0,
MoogsEndStructures-1.21-2.0.3.jar,mes,assets/mes/lang/en_us.json,,ok,missing,7,0,0,7,0,
MoogsNetherStructures-1.21-3.0.0.jar,mns,assets/mns/lang/en_us.json,,ok,missing,7,0,0,7,0,
MoogsSoaringStructures-1.21-2.1.2.jar,mss,assets/mss/lang/en_us.json,,ok,missing,7,0,0,7,0,
MoogsStructureLib-neoforge-1.21.1-3.1.2.jar,moogs_structures,assets/moogs_structures/lang/en_us.json,,ok,missing,14,0,0,14,0,
MoogsVoyagerStructures-1.21-5.0.14.jar,mvs,assets/mvs/lang/en_us.json,,ok,missing,7,0,0,7,0,
moonlight-1.21.1-3.5.2-neoforge.jar,moonlight,assets/moonlight/lang/en_us.json,,ok,missing,136,0,0,136,0,
moreoverlays-1.24.2-mc1.21.1-neoforge.jar,moreoverlays,assets/moreoverlays/lang/en_us.json,,ok,missing,40,0,0,40,0,
morered-1.21.1-6.0.0.3.jar,morered,assets/morered/lang/en_us.json,,ok,missing,51,0,0,51,0,
mostructures-neoforge-1.6.0+1.21.1.jar,mostructures,assets/mostructures/lang/en_us.json,,ok,missing,27,0,0,27,0,
multipiston-1.2.58-1.21.1.jar,multipiston,assets/multipiston/lang/en_us.json,,ok,missing,2,0,0,2,0,
MysticalAgradditions-1.21.1-8.0.14.jar,mysticalagradditions,assets/mysticalagradditions/lang/en_us.json,assets/mysticalagradditions/lang/ko_kr.json,ok,ok,104,39,39,65,0,
MysticalAgriculture-1.21.1-8.0.27.jar,mysticalagriculture,assets/mysticalagriculture/lang/en_us.json,assets/mysticalagriculture/lang/ko_kr.json,ok,ok,745,436,434,311,2,
NaturesAura-41.9.jar,naturesaura,assets/naturesaura/lang/en_us.json,,ok,missing,242,0,0,242,0,
NaturesCompass-1.21.1-3.4.0-neoforge.jar,naturescompass,assets/naturescompass/lang/en_us.json,assets/naturescompass/lang/ko_kr.json,ok,ok,44,44,44,0,0,
NeoAuth-1.21.1-1.0.1.jar,neo_auth,assets/neo_auth/lang/en_us.json,,ok,missing,45,0,0,45,0,
neovitae-1.21.1-1.1.15.jar,neovitae,assets/neovitae/lang/en_us.json,,ok,missing,3053,0,0,3053,0,
NoChatReports-NEOFORGE-1.21.1-v2.9.1.jar,nochatreports,assets/nochatreports/lang/en_us.json,assets/nochatreports/lang/ko_kr.json,ok,ok,129,129,129,0,0,
